id,analytic_account_id,general_budget_id/id,planned_amount,crossovered_budget_id/id,date_from,date_to
budget_line_1,,budg_post_1,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_2,,budg_post_2,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_3,,budg_post_3,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_4,,budg_post_4,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_5,,budg_post_5,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_6,,budg_post_6,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_7,,budg_post_7,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_8,,budg_post_8,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_9,,budg_post_9,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_10,,budg_post_10,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_11,,budg_post_11,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_12,,budg_post_12,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_13,,budg_post_13,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_14,,budg_post_14,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_15,,budg_post_15,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_16,,budg_post_16,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_17,,budg_post_17,100000,cross_budget_2014,2014-01-01,2014-12-31
budget_line_18,,budg_post_18,100000,cross_budget_2014,2014-01-01,2014-12-31
