id,transaction_id/id,budget_id/id,name,account_id/id,budget_position_id/id,preventive_amount,state,advance_line
prev_line_1,budg_trans_caso_1,budget_2014,Computadoras,sipreco_account_chart.account_account_472,budg_pos_12,30000,confirmed,
prev_line_2,budg_trans_caso_1,budget_2014,Licencias,sipreco_account_chart.account_account_54,budg_pos_14,20000,confirmed,
prev_line_3,budg_trans_caso_2,budget_2014,SIPRECO,sipreco_account_chart.account_account_54,budg_pos_14,30000,confirmed,
prev_line_4,budg_trans_caso_2,budget_2015,SIPRECO,sipreco_account_chart.account_account_54,budg_pos_14,30000,draft,
prev_line_5,budg_trans_caso_3,budget_2014,Compra de cartuchos,sipreco_account_chart.account_account_136,budg_pos_12,800,confirmed,
prev_line_6,budg_trans_caso_4,budget_2014,Pago de Luz,sipreco_account_chart.account_account_165,budg_pos_5,1300,confirmed,
prev_line_7,budg_trans_caso_5,budget_2014,Caja Chica,,budg_pos_11,1000,draft,True
prev_line_8,budg_trans_caso_6,budget_2014,Anticipo viaje a cordoba,,budg_pos_11,1000,draft,True
prev_line_9,budg_trans_caso_7,budget_2014,Alquiler Agosto,sipreco_account_chart.account_account_146,budg_pos_6,15000,confirmed,
prev_line_10,budg_trans_caso_8,budget_2014,Sueldos Agosto,sipreco_account_chart.account_account_128,budg_pos_1,30000,confirmed,
prev_line_11,budg_trans_caso_8,budget_2014,Sueldos Agosto,sipreco_account_chart.account_account_129,budg_pos_2,10000,confirmed,
prev_line_12,budg_trans_caso_8,budget_2014,Sueldos Agosto,sipreco_account_chart.account_account_130,budg_pos_3,10000,confirmed,
prev_line_13,budg_trans_caso_9,budget_2014,Subsidio con cargo,,budg_pos_17,1500,draft,True
prev_line_14,budg_trans_caso_10,budget_2014,Subsidio sin cargo,sipreco_account_chart.account_account_165,budg_pos_17,1000,confirmed,
