id,transaction_id/id,account_id/id,budget_position_id/id,preventive_amount,advance_line
prev_line_1,budg_trans_caso_1,account_gastos_varios,budg_pos_12,30000,
prev_line_2,budg_trans_caso_1,account_gastos_varios,budg_pos_14,20000,
prev_line_3,budg_trans_caso_2,account_gastos_varios,budg_pos_14,30000,
prev_line_5,budg_trans_caso_3,account_gastos_varios,budg_pos_12,800,
prev_line_6,budg_trans_caso_4,account_gastos_varios,budg_pos_5,1300,
prev_line_7,budg_trans_caso_5,,budg_pos_11,1000,True
prev_line_8,budg_trans_caso_6,,budg_pos_11,1000,True
prev_line_9,budg_trans_caso_7,account_gastos_varios,budg_pos_6,15000,
prev_line_10,budg_trans_caso_8,account_gastos_varios,budg_pos_1,30000,
prev_line_11,budg_trans_caso_8,account_gastos_varios,budg_pos_2,10000,
prev_line_12,budg_trans_caso_8,account_gastos_varios,budg_pos_3,10000,
prev_line_13,budg_trans_caso_9,,budg_pos_17,1500,True
prev_line_14,budg_trans_caso_10,account_gastos_varios,budg_pos_17,1000,
