id,code,name,category_id/id,type,parent_id/id,budget_assignment_allowed
sipreco_public_budget.budg_position_1000,01.01.01,Retribuciones del Cargo,pos_categ_expense,normal,sipreco_public_budget.budg_position_20,False
sipreco_public_budget.budg_position_1010,01.01.04,Sueldo Anual Complementario,pos_categ_expense,normal,sipreco_public_budget.budg_position_20,False
sipreco_public_budget.budg_position_1020,01.01.06,Contribuciones Patronales,pos_categ_expense,normal,sipreco_public_budget.budg_position_20,False
sipreco_public_budget.budg_position_1030,01.05.01,Retribuciones del Cargo,pos_categ_expense,normal,sipreco_public_budget.budg_position_30,False
sipreco_public_budget.budg_position_1040,01.05.04,Sueldo Anual Complementario,pos_categ_expense,normal,sipreco_public_budget.budg_position_30,False
sipreco_public_budget.budg_position_1050,01.05.06,Contribuciones Patronales,pos_categ_expense,normal,sipreco_public_budget.budg_position_30,False
sipreco_public_budget.budg_position_1060,01.08.01,Indemnizaciones P/Licencias No Usufructuadas,pos_categ_expense,normal,sipreco_public_budget.budg_position_40,False
sipreco_public_budget.budg_position_1070,01.08.02,Movilidad Discapacitados Ord.5819/94,pos_categ_expense,normal,sipreco_public_budget.budg_position_40,False
sipreco_public_budget.budg_position_1080,01.08.03,Adelantos Gastos Defensa Judicial,pos_categ_expense,normal,sipreco_public_budget.budg_position_40,False
sipreco_public_budget.budg_position_1090,01.08.04,Gastos por Accidentes de Trabajo,pos_categ_expense,normal,sipreco_public_budget.budg_position_40,False
sipreco_public_budget.budg_position_1100,01.09.01,Indemnizaciones P/Accidentes de Trabajo,pos_categ_expense,normal,sipreco_public_budget.budg_position_50,False
sipreco_public_budget.budg_position_1110,01.09.02,Indemnizaciones P/Fallecimiento,pos_categ_expense,normal,sipreco_public_budget.budg_position_50,False
sipreco_public_budget.budg_position_1120,01.09.03,Indemnizaciones P/Invalidez,pos_categ_expense,normal,sipreco_public_budget.budg_position_50,False
sipreco_public_budget.budg_position_1130,01.09.04,Indemnizaciones P/Despido,pos_categ_expense,normal,sipreco_public_budget.budg_position_50,False
sipreco_public_budget.budg_position_1140,01.09.05,Indemnizaciones Varias,pos_categ_expense,normal,sipreco_public_budget.budg_position_50,False
sipreco_public_budget.budg_position_1150,02.01.01,Alimentos Para Personas,pos_categ_expense,normal,sipreco_public_budget.budg_position_70,False
sipreco_public_budget.budg_position_1160,02.01.04,Productos Agroforestales,pos_categ_expense,normal,sipreco_public_budget.budg_position_70,False
sipreco_public_budget.budg_position_1170,02.01.05,"Madera, Corcho y sus Manufacturas",pos_categ_expense,normal,sipreco_public_budget.budg_position_70,False
sipreco_public_budget.budg_position_1180,02.01.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_70,False
sipreco_public_budget.budg_position_1190,02.02.01,Hilados y Telas,pos_categ_expense,normal,sipreco_public_budget.budg_position_80,False
sipreco_public_budget.budg_position_1200,02.02.02,Prendas de Vestir,pos_categ_expense,normal,sipreco_public_budget.budg_position_80,False
sipreco_public_budget.budg_position_1210,02.02.03,Confecciones Textiles,pos_categ_expense,normal,sipreco_public_budget.budg_position_80,False
sipreco_public_budget.budg_position_1220,02.02.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_80,False
sipreco_public_budget.budg_position_1230,02.03.01,Papel de Escritorio,pos_categ_expense,normal,sipreco_public_budget.budg_position_90,False
sipreco_public_budget.budg_position_1240,02.03.02,Papel de Computación,pos_categ_expense,normal,sipreco_public_budget.budg_position_90,False
sipreco_public_budget.budg_position_1250,02.03.03,Otros Artículos de Papel o Cartón,pos_categ_expense,normal,sipreco_public_budget.budg_position_90,False
sipreco_public_budget.budg_position_1260,02.03.04,"Libros, Revistas y Periódicos",pos_categ_expense,normal,sipreco_public_budget.budg_position_90,False
sipreco_public_budget.budg_position_1270,02.03.05,Textos de Enseñanza,pos_categ_expense,normal,sipreco_public_budget.budg_position_90,False
sipreco_public_budget.budg_position_1280,02.03.06,Especies Timbradas y Valores,pos_categ_expense,normal,sipreco_public_budget.budg_position_90,False
sipreco_public_budget.budg_position_1290,02.03.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_90,False
sipreco_public_budget.budg_position_1300,02.04.01,Cueros y Pieles,pos_categ_expense,normal,sipreco_public_budget.budg_position_100,False
sipreco_public_budget.budg_position_1310,02.04.02,Artículos de Cuero,pos_categ_expense,normal,sipreco_public_budget.budg_position_100,False
sipreco_public_budget.budg_position_1320,02.04.03,Artículos de Caucho,pos_categ_expense,normal,sipreco_public_budget.budg_position_100,False
sipreco_public_budget.budg_position_1330,02.04.04,Cubiertas y Cámaras de Aire,pos_categ_expense,normal,sipreco_public_budget.budg_position_100,False
sipreco_public_budget.budg_position_1340,02.04.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_100,False
sipreco_public_budget.budg_position_1350,02.05.01,Compuestos Químicos,pos_categ_expense,normal,sipreco_public_budget.budg_position_110,False
sipreco_public_budget.budg_position_1360,02.05.02,Productos Farmacéuticos y Medicinales,pos_categ_expense,normal,sipreco_public_budget.budg_position_110,False
sipreco_public_budget.budg_position_1370,02.05.03,Abonos y Fertilizantes,pos_categ_expense,normal,sipreco_public_budget.budg_position_110,False
sipreco_public_budget.budg_position_1380,02.05.04,"Insecticidas, Fumigantes y Otros",pos_categ_expense,normal,sipreco_public_budget.budg_position_110,False
sipreco_public_budget.budg_position_1390,02.05.05,"Tintas, Pinturas y Colorantes",pos_categ_expense,normal,sipreco_public_budget.budg_position_110,False
sipreco_public_budget.budg_position_1400,02.05.06,Combustibles y Lubricantes,pos_categ_expense,normal,sipreco_public_budget.budg_position_110,False
